Programm A;Programm B;Zeitdauer in Minuten
L_2914100112_1_MPF;1293179903_1_MPF;45
1293179903_1_MPF;A5E50626311_1_MPF;60
A5E50626311_2_MPF;A5E43981925001_1_MPF;45
1701006313_1_MPF;L_1701010013AA1_MPF;31
L_1701010013AA1_MPF;L_1701001013AA2_MPF;20
L_1701001013AA2_MPF;1701010015_1_MPF;40
2914100111_1_MPF;1292110011_MPF;120
1292110011_MPF;M400030630_1_MPF;70
0843083813G2_MPF;0323001701B1_MPF;35
0323001701B1_MPF;A5E47787940_1_MPF;90
A5E50626311_2_MPF;A5E49813002001_MPF;75
A5E49813002001_MPF;A5E49813005001_MPF;40
MPF0;0563078901_1_MPF;30
0563078901_1_MPF;0563001821_MPF;115
0563001821_MPF;1292045101_1_MPF;60
1292045101_1_MPF;1_129_21210_11_AB_MPF;45
L_1291160821_1_MPF;1291103113_1_MPF;60
1291103113_1_MPF;1263028002_1_MPF;35
L_1701006314_1_MPF;L_A5E50275764AD_1SP_MPF;30
L_A5E50275764AD_1SP_MPF;L_40002829003_1_MPF;85
