Programm A;Programm B;Aeitdauer in Minuten
D;B;76
E;A;45
B;E;88
D;A;115
E;D;19
A;B;106
D;B;51
A;E;18
D;E;80
C;E;115
A;E;116
C;A;69
A;E;31
A;D;34
B;C;42
B;A;25
D;E;27
E;B;15
E;D;74
C;D;49
E;B;52
E;A;108
D;E;75
B;E;118
B;C;70
D;E;80
E;B;40
E;C;61
E;D;41
A;B;26
C;E;25
A;C;77
A;E;45
C;B;71
A;C;77
B;E;100
D;A;27
C;D;98
C;E;99
D;B;48
C;E;96
B;C;109
C;A;81
A;B;36
C;E;110
E;C;106
B;C;110
A;E;36
B;C;53
A;C;91
C;D;43
E;A;21
B;A;85
E;C;74
B;C;39
A;C;50
E;A;41
D;E;42
C;E;56
D;A;65
B;A;36
B;E;90
C;B;107
E;C;54
E;B;91
D;C;27
D;A;93
A;C;99
E;D;41
B;C;110
B;A;89
A;B;19
E;A;53
C;D;26
A;E;61
C;B;96
C;D;37
C;A;53
C;D;40
E;B;100
B;C;78
E;D;110
A;B;66
E;C;106
D;A;100
D;E;99
B;E;48
A;B;89
A;D;77
A;B;59
C;D;76
C;E;39
D;B;117
D;E;100
E;C;80
A;C;95
E;B;88
D;A;92
A;D;79
B;E;72
