Programm A;Programm B;Zeitdauer in Minuten
B;E;99
D;B;44
Z;E;51
Z;B;90
C;Z;72
E;Z;92
Z;E;119
D;Z;56
B;C;89
Z;B;34
B;D;81
C;E;116
D;B;99
E;C;117
D;E;91
E;C;76
Z;E;18
B;C;20
E;D;87
E;B;71
Z;C;27
E;D;117
B;E;30
C;B;37
C;E;65
Z;C;113
B;C;116
E;D;118
D;E;68
Z;B;45
C;B;79
C;D;27
E;C;73
B;D;25
C;E;18
D;E;43
D;C;77
C;B;89
C;E;17
Z;E;48
E;Z;18
D;B;23
Z;B;17
D;B;41
C;B;25
D;Z;54
D;E;18
C;D;44
Z;E;57
Z;C;99
B;E;16
D;E;62
E;D;118
D;E;40
B;Z;83
B;E;40
D;E;67
B;D;37
B;E;116
D;E;19
D;C;108
E;C;113
D;Z;67
D;C;42
C;Z;54
D;C;43
D;B;18
Z;B;38
B;D;33
C;D;54
D;C;53
D;E;34
C;D;47
C;E;22
B;D;24
D;Z;48
B;C;61
Z;C;108
Z;B;103
E;D;30
Z;E;70
D;B;56
E;C;114
Z;E;20
E;C;98
D;Z;63
D;E;49
B;Z;69
E;Z;56
C;Z;30
B;E;44
D;E;85
Z;B;43
B;E;104
E;D;98
D;B;90
D;C;29
B;Z;51
Z;C;62
C;B;100
